City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Punta Arenas,-53.15,-70.9167,44.6,57,0,8.05,CL,1614562578
Mataura,-46.1927,168.8643,72.0,72,91,1.99,NZ,1614562578
Ossora,59.2353,163.0719,-0.26,93,100,14.9,RU,1614562579
Ushuaia,-54.8,-68.3,44.6,65,20,9.22,AR,1614562579
Hilo,19.7297,-155.09,75.2,69,90,8.05,US,1614562579
Hellvik,59.9156,5.781,42.01,96,44,3.0,NO,1614562580
Oranjemund,-28.55,16.4333,66.47,76,37,2.95,NA,1614562580
Poum,-20.2333,164.0167,81.0,71,14,11.52,NC,1614562581
Puerto Ayora,-0.7393,-90.3518,80.01,91,52,2.82,EC,1614562581
Kapaa,22.0752,-159.319,75.2,69,20,23.02,US,1614562581
Sakaiminato,35.55,133.2333,64.4,51,75,14.97,JP,1614562603
Tessalit,20.1986,1.0114,63.01,25,17,2.86,ML,1614562603
Saint-Philippe,-21.3585,55.7679,75.2,69,0,5.75,RE,1614562603
Kruisfontein,-34.0033,24.7314,64.99,91,95,5.97,ZA,1614562604
Amethi,26.15,81.8167,68.72,39,0,2.95,IN,1614562604
Horsham,51.064,-0.3272,41.0,100,0,4.61,GB,1614562605
San Quintin,30.4833,-115.95,60.12,59,0,4.09,MX,1614562605
Pyskowice,50.4,18.6333,37.0,86,100,4.0,PL,1614562605
Victoria,22.2855,114.1577,71.01,81,88,11.21,HK,1614562400
Dalvik,65.9702,-18.5286,41.0,48,40,23.02,IS,1614562606
Qaanaaq,77.484,-69.3632,-3.14,79,100,3.74,GL,1614562606
Katsuura,35.1333,140.3,60.01,62,20,5.75,JP,1614562607
Atuona,-9.8,-139.0333,80.17,79,20,15.23,PF,1614562607
Dunedin,-45.8742,170.5036,63.0,86,100,25.99,NZ,1614562318
Bluff,-46.6,168.3333,72.0,72,66,1.99,NZ,1614562608
Storslett,69.7678,21.0247,34.65,96,100,27.81,NO,1614562608
Bredasdorp,-34.5322,20.0403,69.8,88,54,9.22,ZA,1614562453
Barrow,71.2906,-156.7887,-13.0,77,20,8.05,US,1614562608
Bambous Virieux,-20.3428,57.7575,75.2,88,75,5.75,MU,1614562609
Vaini,-21.2,-175.2,82.4,74,40,6.91,TO,1614562609
Ponta Do Sol,32.6667,-17.1,57.99,57,30,7.0,PT,1614562609
Paungde,18.4833,95.5,76.95,44,0,4.43,MM,1614562609
Busselton,-33.65,115.3333,68.0,71,100,4.0,AU,1614562610
Anadyr,64.75,177.4833,-2.2,60,40,13.42,RU,1614562610
Cayenne,4.9333,-52.3333,78.8,83,75,6.91,GF,1614562610
Pangnirtung,66.1451,-65.7125,-29.11,96,100,5.17,CA,1614562611
Narsaq,60.9167,-46.05,26.6,63,90,3.44,GL,1614562611
Souillac,-20.5167,57.5167,75.2,88,75,5.75,MU,1614562611
Ribeira Grande,38.5167,-28.7,56.16,63,23,12.48,PT,1614562612
Lazaro Cardenas,17.9583,-102.2,73.49,82,77,2.68,MX,1614562612
Albany,42.6001,-73.9662,39.0,73,100,1.99,US,1614562500
Hermanus,-34.4187,19.2345,72.0,84,1,3.0,ZA,1614562613
Coquimbo,-29.9533,-71.3436,60.8,88,75,6.91,CL,1614562613
Tuktoyaktuk,69.4541,-133.0374,-32.8,68,1,3.44,CA,1614562613
Touros,-5.1989,-35.4608,78.8,83,40,6.91,BR,1614562614
Palmer,42.1584,-72.3287,39.99,75,90,4.61,US,1614562422
Rikitea,-23.1203,-134.9692,78.48,77,41,11.43,PF,1614562614
Cape Town,-33.9258,18.4232,69.01,77,0,9.22,ZA,1614562615
Palu,-0.8917,119.8707,85.84,55,100,1.34,ID,1614562615
Arraial Do Cabo,-22.9661,-42.0278,77.0,88,0,10.36,BR,1614562615
